,Neighborhood,Population,Total private dwellings,Population density per square kilometre,Crime Cases,COVID Cases,latitude,longitude,Crime Rate,COVID Rate,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Count
92,Old East York,9233.0,3960.0,3997.0,74.0,192.0,43.689953200000005,-79.32493147310899,0.018513885414060547,0.0480360270202652,Café,Coffee Shop,Gastropub,Bar,Sandwich Place,Ice Cream Shop,Pizza Place,American Restaurant,Park,Ethiopian Restaurant,50
93,Palmerston-Little Italy,13826.0,6862.0,9601.0,190.0,206.0,43.6600648,-79.4118056,0.019789605249453182,0.021456098323091345,Café,Korean Restaurant,Coffee Shop,Vegetarian / Vegan Restaurant,Dessert Shop,Bakery,Beer Bar,Ice Cream Shop,Bar,Taco Place,100
94,Parkwoods,34805.0,13921.0,4691.0,300.0,974.0,43.7611243,-79.3240594,0.06395224898742273,0.20763163504583246,Gas Station,Supermarket,Coffee Shop,Park,Bus Stop,French Restaurant,Café,Caribbean Restaurant,Beer Store,Shopping Mall,25
95,Pelham Park,11098.0,4559.0,7601.0,,,43.6686885,-79.458207,,,Café,Coffee Shop,Park,Bakery,Mexican Restaurant,Thai Restaurant,Vietnamese Restaurant,Restaurant,Flea Market,Gastropub,80
96,Pelmo Park,10722.0,3860.0,2547.0,189.0,691.0,43.7103728,-79.5085113,0.07420494699646643,0.2712995681193561,Convenience Store,Fast Food Restaurant,Gas Station,Mexican Restaurant,Thrift / Vintage Store,Vietnamese Restaurant,Jewelry Store,Intersection,Pizza Place,Caribbean Restaurant,15
97,Playter Estates-Danforth,7804.0,3767.0,8671.0,139.0,167.0,43.6786661,-79.3555177,0.016030446315303887,0.019259600968746397,Greek Restaurant,Coffee Shop,Pub,Café,Pizza Place,Park,Italian Restaurant,Fast Food Restaurant,Flower Shop,Bookstore,100
98,Pleasant View,15818.0,5703.0,5273.0,99.0,458.0,43.787048,-79.3337137,0.018774890953916178,0.08685757633225867,Park,Fast Food Restaurant,Bank,Pharmacy,Bus Station,Breakfast Spot,Beer Store,Skating Rink,Chinese Restaurant,Baseball Field,18
99,Princess,11051.0,3958.0,2138.0,108.0,223.0,43.6404664,-79.3912237,0.050514499532273154,0.10430308699719364,Coffee Shop,Italian Restaurant,Park,Gym,Yoga Studio,Scenic Lookout,Hotel,Dessert Shop,Café,Baseball Stadium,100
100,Regent Park,10803.0,5183.0,16880.0,262.0,330.0,43.6607056,-79.3604569,0.01552132701421801,0.019549763033175356,Coffee Shop,Restaurant,Café,Bakery,Park,Thai Restaurant,Diner,Breakfast Spot,Pub,Fast Food Restaurant,100
102,Rockcliffe,22246.0,9487.0,4414.0,251.0,1144.0,43.6752731,-79.4886729,0.0568645219755324,0.25917535115541457,Brewery,Park,Coffee Shop,Pizza Place,Athletics & Sports,Asian Restaurant,Thai Restaurant,Grocery Store,Bus Line,Sandwich Place,28
103,Roding,35052.0,14244.0,2337.0,799.0,2774.0,43.7271079,-79.4913046,0.3418913136499786,1.1869918699186992,Pharmacy,Vietnamese Restaurant,Bank,Intersection,Fast Food Restaurant,Gym / Fitness Center,Grocery Store,Supermarket,Burrito Place,Spa,25
104,Roncesvalles,14974.0,7305.0,9851.0,232.0,268.0,43.6514426,-79.4510381,0.023550908537204346,0.02720535986194295,Coffee Shop,Sushi Restaurant,Café,Pub,Grocery Store,Pizza Place,Bar,Breakfast Spot,Sandwich Place,Thai Restaurant,100
105,Rosedale-Moore Park,20923.0,10702.0,4500.0,276.0,255.0,43.6889721,-79.3741165,0.06133333333333333,0.056666666666666664,Park,Playground,Grocery Store,Trail,Bank,Pharmacy,Martial Arts School,Farmers Market,Historic Site,Candy Store,27
107,Runnymede-Bloor West Village,10070.0,3987.0,6333.0,117.0,105.0,43.6517776,-79.4759227,0.018474656560871626,0.016579819990525817,Coffee Shop,Café,Pizza Place,Sushi Restaurant,Pub,Italian Restaurant,Bakery,Pharmacy,Park,Bank,79
108,Rustic,9941.0,3726.0,4734.0,115.0,434.0,43.71336615,-79.50450373904313,0.02429235318969159,0.09167722855935784,Fast Food Restaurant,Vietnamese Restaurant,Gas Station,Pharmacy,Hockey Arena,Bank,Convenience Store,Grocery Store,Pizza Place,Mexican Restaurant,15
109,Scarborough Village,16724.0,6133.0,5395.0,263.0,1233.0,43.7437422,-79.2116324,0.04874884151992586,0.22854494902687675,Coffee Shop,Fast Food Restaurant,Gym,Beer Store,Fried Chicken Joint,Pub,Theater,Discount Store,Pizza Place,Grocery Store,18
111,South Parkdale,21849.0,12085.0,9583.0,416.0,911.0,43.638093,-79.4665843,0.04341020557236774,0.09506417614525722,Park,Scenic Lookout,Gas Station,Amphitheater,Café,Light Rail Station,Harbor / Marina,Basketball Court,Beach,Outdoors & Recreation,35
112,South Riverdale,27876.0,12732.0,3136.0,490.0,450.0,43.6654704,-79.3525936,0.15625,0.1434948979591837,Coffee Shop,Vietnamese Restaurant,Café,Bar,Bakery,Park,Fast Food Restaurant,Chinese Restaurant,Pizza Place,Fish Market,100
113,St.Andrew-Windfields,17812.0,6685.0,2430.0,194.0,273.0,43.6477917,-79.3848711,0.07983539094650206,0.11234567901234568,Coffee Shop,Café,Hotel,Japanese Restaurant,Theater,Beer Bar,Restaurant,Plaza,Arts & Crafts Store,Concert Hall,100
114,Steeles,24623.0,8032.0,5436.0,155.0,875.0,43.8161778,-79.3145378,0.028513612950699044,0.16096394407652687,Chinese Restaurant,Baseball Field,Food & Drink Shop,Pizza Place,Ramen Restaurant,Sandwich Place,Tea Room,Tattoo Parlor,Sushi Restaurant,Supermarket,29
115,Stonegate-Queensway,25051.0,10896.0,3199.0,206.0,478.0,43.62195,-79.5234993,0.06439512347608628,0.14942169427946234,Restaurant,Fast Food Restaurant,Coffee Shop,BBQ Joint,Burrito Place,Sandwich Place,Bank,Gym,Yoga Studio,Eastern European Restaurant,52
116,Sunnybrook,9266.0,3478.0,1040.0,122.0,134.0,43.71600205,-79.37755438397052,0.11730769230769231,0.12884615384615383,Food Court,Indian Restaurant,Thai Restaurant,Coffee Shop,Dog Run,Shipping Store,Grocery Store,Park,Pharmacy,Supermarket,22
